PART_NO,PART_DESCRIPTION,Version,ST_ LOCATION,VALIDITY,CAT Description,QTY REQUIRED,Qty / Lot,Primary #,Secondary #,Pack Code,Pack Qty,Packing Group,Total No of Packing Group,Mix Group,Mix,Bom.no,Case_map,Images
792602VF6D,FES LHD PHANTOM PART,5,AH,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,AGG,Front End Structure Assembly,1,AH,24,0,0,1,0,792602VF6D
430002VB9B,Rear AXLE UNIT ,5,AI,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,AGG,SINGLE REAR AXLE ASSEMBLYPANE,4,AI,6,0,0,2,0,430002VB9B
MFFAVF0004,MITR FAB FIRST FRONT AXLE  LH,5,AJ,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,AGG,Front axle ,4,AJ,6,0,0,3,0,MFFAVF0004
101002VF6E SA,Engine &(Gear box Assy- 320102VE6A),5,AE,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,AGG,Engine Sub assambly,3,AE,8,0,0,4,0,101002VF6E SA
MFWAVF0005,WHEEL ASSY PANEL BUS 7MMiTR G,5,AT,-,X866A725KAXCL - GAZL E3,168,168,X866A725KAXCL - GAZL E3,AGG,Tyre,21,AT,8,0,0,5,0,MFWAVF0005
11-2500011,"BOLT-FIX,P/S",5,AB-L1-A1 Box,-,X866A725KAXCL - GAZL E3,96,96,X866A725KAXCL - GAZL E3,Loose Item,PROPELLER SHAFT ASSEMBLY,96,AB,1,0,0,96,0,11-2500011
11-2500931,"BOLT-HEX HD,FLG",5,AB-L1-A1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Loose Item,MITR FABPANEL BUS EURO3  EURO,48,AB,1,0,0,97,0,11-2500931
113202VF0A,INSUL ASSY - ENG MTG (RR),5,AD L2,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Loose Item,MITR FABPANEL  ENGINE MTG ASS,24,AD,1,0,0,98,0,113202VF0A
12-2300241,Steering Wheel Nut,5,AC-L1-B2 Box,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Loose Item,Steering column,24,AC,1,0,0,99,0,12-2300241
144632VF0A,HOSE - AIR INLET,5,AB L4,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Loose Item,CLS COMPL W RING FAN MITR LHD,24,AB,1,0,0,100,0,144632VF0A
144642VE0A,"CLP-HOSE,TURBO",5,AB-L1-A3 Box,-,X866A725KAXCL - GAZL E3,72,72,X866A725KAXCL - GAZL E3,Loose Item,CLS COMPL W RING FAN MITR LHD,72,AB,1,0,0,101,0,144642VE0A
144682VF0A,HOSE - AIR SUCT,5,AD L4,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Loose Item,CLS COMPL W RING FAN MITR LHD,24,AD,1,0,0,102,0,144682VF0A
147472VF1B,RAD COMPL W RING FAN SHROUD M,5,AK,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Loose Item,CLS COMPL W RING FAN MITR LHD,6,AK,4,0,0,103,0,147472VF1B
15-5800431,"CLP-HOSE,SPR PLATE",5,AC-L1-A4 Box,-,X866A725KAXCL - GAZL E3,144,144,X866A725KAXCL - GAZL E3,Loose Item,PANEL BUS LHD FUEL PIPING - WITH PREFILT,144,AC,1,0,0,104,0,15-5800431
